https://www.youtube.com/watch?v=WT_7YYnu6mA  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen (Niveau B1+).mp4"
https://www.youtube.com/watch?v=AXW63JrXHX8  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen - Niveau A1 + (2).mp4"
https://www.youtube.com/watch?v=MFP9rl5b000  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen - Niveau A1 (3).mp4"
https://www.youtube.com/watch?v=jtGMsu7NEwY  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B2 C1 Medizin.mp4"
https://www.youtube.com/watch?v=RiCWBtqEszM  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B2 C1 Medizin 2.mp4"
https://www.youtube.com/watch?v=q7awA-r2XU4  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen - Niveau A2 Tourismus (1).mp4"
https://www.youtube.com/watch?v=PHYR6ogTOhw  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B1 +  (2).mp4"
https://www.youtube.com/watch?v=3yQj7GzPJac  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B2 C1 Medizin 3.mp4"
https://www.youtube.com/watch?v=AwlxE0v7iCo  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau A2 - Pflege.mp4"
https://www.youtube.com/watch?v=p2cvsZAH2bA  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B2 C1 Medizin 4.mp4"
https://www.youtube.com/watch?v=iomfp4jqSmY  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau A12.mp4"
https://www.youtube.com/watch?v=3XH-XtYlaX4  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B2.mp4"
https://www.youtube.com/watch?v=j6UOOKu5UTQ  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B1 - Pflege 123.mp4"
https://www.youtube.com/watch?v=BGPsqaZPQkg  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau A2 - 12 - (14).mp4"
https://www.youtube.com/watch?v=-7OkL0_1K94  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B1 - Pflege 22.mp4"
https://www.youtube.com/watch?v=FOr07Ny5njk  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B1 + (16).mp4"
https://www.youtube.com/watch?v=xnTImqKE69o  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau A1 -  12 - (17).mp4"
https://www.youtube.com/watch?v=5Aw8gLwzBDk  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B2 - 12 - Teil 1 (19).mp4"
https://www.youtube.com/watch?v=cou4frhLVZg  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau A2 - 22 -  (20).mp4"
https://www.youtube.com/watch?v=IGysM7eKScE  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B2   (21).mp4"
https://www.youtube.com/watch?v=iOsRVjypRG0  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen - Niveau A2  (22).mp4"
https://www.youtube.com/watch?v=c1wtHL0cDJk  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B2 - 3 (23).mp4"
https://www.youtube.com/watch?v=7kTlEp4D-dQ  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B1 - 12 Teil 1 (24).mp4"
https://www.youtube.com/watch?v=tf6nhakrJLQ  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B2 - 4 (25).mp4"
https://www.youtube.com/watch?v=bvidr4GpShI  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau A2 -1&2 - Teil 1(26).mp4"
https://www.youtube.com/watch?v=vWl6JV43jDo  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B2 - Alltag und Beruf 14 - (27).mp4"
https://www.youtube.com/watch?v=lCR2kuFpRiU  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau A1- (28).mp4"
https://www.youtube.com/watch?v=PbcAHtT7G8A  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B2 - Alltag und Beruf - 24 - 29.mp4"
https://www.youtube.com/watch?v=NgbvG2b3Qf0  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B1 - 2 2 Teil 1 (30).mp4"
https://www.youtube.com/watch?v=l-c4AlYSy_g  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B2 - Alltag und Beruf - 3 4 - 31.mp4"
https://www.youtube.com/watch?v=ebUcmPmN8fM  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau A1 - 12 Teil 2 (32).mp4"
https://www.youtube.com/watch?v=6yQvz9TFq68  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B2 - Alltag und Beruf - 44 - (33).mp4"
https://www.youtube.com/watch?v=ft11eQklqtk  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau A2-  (34).mp4"
https://www.youtube.com/watch?v=3hDLD9LfaHM  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B1 - 12 Teil 2 (35).mp4"
https://www.youtube.com/watch?v=o05bIl1U4oU  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau A2- 22 Teil 2 (36).mp4"
https://www.youtube.com/watch?v=Bj7HwGHAoYQ  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau B1 -  22 Teil 2 (37).mp4"
https://www.youtube.com/watch?v=cRZU0Iyfxxs  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen Niveau A1 - 22 Teil 2 (38).mp4"
https://www.youtube.com/watch?v=LKIArGLwxLQ  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen - Niveau B1  (39).mp4"
https://www.youtube.com/watch?v=lB5-Qinx4Lc  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen - Niveau A2 (40).mp4"
https://www.youtube.com/watch?v=DCLM0jAXdqA  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören  Lesen und Verstehen - Niveau A2  (40).mp4"
